original,english
,not defined
Area,area
Room,room
TRUDO,trudo
Type,type
WC,bathroom
badkamer,bathroom
balkon,balcony
berging,storage
binnentuin,inner courtyard
galerij,gallery
gang,corridor
liftschacht,elevator shaft
schacht,shaft
serverruimte,server room
shaft,shaft
slaapkamer,bedroom
toilet,bathroom
trappenhuis,staircase
woonkamer,livingroom
wc,bathroom
werkkamer,study room
verkeersruimte,circulation
Service,service room
doorwaaikap,not defined
lifthal,elevator hall
Trappenhuis,staircase
Terras,terrace
Algemene,general
Fietsenstalling,bike storage
Entreehal,entrance hall
Bergruimte,storage
bergruimte,storage
Lift,elevator
terras,terrace
Winkels,shops
Entree,entrance
scootmobielen,scooters
